B_fighter,B_current_lose_streak,B_current_win_streak,B_draw,B_avg_SIG_STR_landed,B_avg_SIG_STR_pct,B_avg_SUB_ATT,B_avg_TD_landed,B_avg_TD_pct,B_longest_win_streak,B_losses,B_total_rounds_fought,B_total_title_bouts,B_win_by_Decision_Majority,B_win_by_Decision_Split,B_win_by_Decision_Unanimous,B_win_by_KO/TKO,B_win_by_Submission,B_win_by_TKO_Doctor_Stoppage,B_wins,B_Height_cms,B_Reach_cms,B_Weight_lbs,B_age,B_Orthodox,B_Southpaw,B_Switch
Frankie Edgar,2,0,1,3.6,0.4,0.3,2.34,0.31,5,8,89,9,0,0,10,5,2,0,17,167.64,172.72,135,38,1,0,0
Mike Rodriguez,1,0,0,4.3,0.52,0.0,0.0,0.0,1,2,8,0,0,0,0,1,0,0,1,193.04,208.28,205,31,0,1,0
Shana Dobson,3,0,0,3.63,0.34,0.0,0.39,0.25,1,3,9,0,0,0,0,1,0,0,1,167.64,175.26,125,31,1,0,0
Dwight Grant,0,2,0,2.87,0.36,0.0,0.36,1.0,2,1,7,0,0,1,0,1,0,0,2,185.42,193.04,170,35,0,0,1
Mizuki Inoue,0,1,0,6.2,0.45,0.0,0.0,0.0,1,0,3,0,0,1,0,0,0,0,1,160.02,165.1,125,26,1,0,0
Joe Solecki,0,1,0,3.67,0.76,0.8,3.99,0.83,1,0,3,0,0,0,1,0,0,0,1,175.26,177.8,155,26,1,0,0
Jordan Wright,0,0,0,3.0,0.28,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,187.96,195.58,205,28,1,0,0
Matthew Semelsberger,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,185.42,185.42,170,27,1,0,0
Trevin Jones,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,170.18,177.8,140,30,0,1,0
Daniel Cormier,1,0,0,4.25,0.52,0.5,1.95,0.44,12,2,58,10,0,1,6,8,4,0,19,180.34,182.88,235,41,1,0,0
Marlon Vera,1,0,0,3.7,0.48,1.3,0.88,0.42,5,5,34,0,0,0,1,4,4,0,9,172.72,177.8,145,27,0,0,1
