R_fighter,R_current_lose_streak,R_current_win_streak,R_draw,R_avg_SIG_STR_landed,R_avg_SIG_STR_pct,R_avg_SUB_ATT,R_avg_TD_landed,R_avg_TD_pct,R_longest_win_streak,R_losses,R_total_rounds_fought,R_total_title_bouts,R_win_by_Decision_Majority,R_win_by_Decision_Split,R_win_by_Decision_Unanimous,R_win_by_KO/TKO,R_win_by_Submission,R_win_by_TKO_Doctor_Stoppage,R_wins,R_Height_cms,R_Reach_cms,R_Weight_lbs,R_age,R_Orthodox,R_Southpaw,R_Switch
Pedro Munhoz,1,0,0,5.29,0.42,1.1,0.92,0.21,4,4,26,0,0,0,2,3,3,0,8,167.64,165.1,135,33,1,0,0
Marcin Prachnio,2,0,0,2.39,0.39,0.0,0.0,0.0,0,2,2,0,0,0,0,0,0,0,0,190.5,187.96,205,32,1,0,0
Mariya Agapova,0,1,0,3.84,0.51,0.8,0.0,0.0,1,0,1,0,0,0,0,0,1,0,1,167.64,172.72,125,23,0,1,0
Daniel Rodriguez,0,2,0,8.6,0.48,0.4,1.94,0.83,2,0,5,0,0,0,1,0,1,0,2,185.42,187.96,170,33,0,1,0
Amanda Lemos,0,1,0,6.55,0.64,1.3,2.59,1.0,1,1,3,0,0,0,0,0,1,0,1,162.56,165.1,135,33,0,1,0
Austin Hubbard,0,1,0,3.53,0.48,0.0,0.82,0.6,1,2,11,0,0,0,1,1,0,0,2,177.8,180.34,155,28,1,0,0
Ike Villanueva,1,0,0,2.75,0.29,0.0,0.0,0.0,0,1,2,0,0,0,0,0,0,0,0,185.42,185.42,225,36,1,0,0
Carlton Minus,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,177.8,187.96,170,27,1,0,0
Timur Valiev,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,167.64,170.18,145,30,1,0,0
Stipe Miocic,0,1,0,4.95,0.52,0.0,2.2,0.37,6,3,39,6,0,0,4,9,0,0,13,193.04,203.2,240,37,1,0,0
Sean O'Malley,0,4,0,6.86,0.58,1.2,1.18,0.5,4,0,8,0,0,0,2,2,0,0,4,180.34,182.88,135,25,0,0,1
Junior Dos Santos,2,0,0,4.66,0.48,0.1,0.33,0.55,9,6,54,5,0,0,5,10,0,0,15,193.04,195.58,238,36,1,0,0
John Dodson,0,1,0,3.3,0.41,0.0,0.76,0.28,3,6,46,3,0,1,3,6,0,0,10,160.02,167.64,135,35,1,0,0
Jim Miller,0,1,0,2.81,0.4,1.9,1.68,0.41,7,13,77,0,0,2,6,3,10,0,21,172.72,180.34,155,36,0,1,0
Ashley Yoder,1,0,0,3.1,0.42,0.5,1.33,0.38,2,4,18,0,0,1,1,0,0,0,2,170.18,175.26,115,32,0,1,0
Felice Herrig,2,0,0,3.69,0.36,0.9,1.2,0.3,4,3,21,0,0,1,2,0,2,0,5,162.56,165.1,115,35,1,0,0
Herbert Burns,0,2,0,2.6,0.44,6.9,4.59,1.0,2,0,2,0,0,0,0,1,1,0,2,175.26,185.42,145,32,1,0,0
TJ Brown,1,0,0,3.47,0.54,0.7,8.33,0.85,0,1,2,0,0,0,0,0,0,0,0,175.26,182.88,145,30,0,0,1
Chris Daukaus,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,187.96,187.96,256,30,1,0,0
Derrick Lewis,0,2,0,2.53,0.49,0.0,0.48,0.24,6,5,44,1,0,2,2,10,0,0,14,190.5,200.66,260,35,1,0,0
Omari Akhmedov,0,5,1,2.99,0.34,0.2,2.4,0.5,3,3,30,0,0,1,5,2,0,0,8,182.88,185.42,185,32,1,0,0
Maki Pitolo,0,1,0,5.22,0.45,0.7,1.98,0.6,1,1,5,0,0,0,0,1,0,0,1,177.8,190.5,170,29,1,0,0
Yana Kunitskaya,1,0,0,5.05,0.52,0.3,2.39,0.53,2,2,10,1,0,0,2,0,0,0,2,167.64,172.72,135,30,1,0,0
Beneil Dariush,0,4,1,3.87,0.49,1.1,1.8,0.33,5,4,35,0,0,1,4,2,5,0,12,177.8,182.88,155,31,0,1,0
Tim Means,1,0,0,4.87,0.45,0.2,0.91,0.44,4,9,45,0,0,1,3,5,2,0,11,187.96,190.5,170,36,1,0,0
Kevin Holland,0,1,0,4.29,0.55,1.1,1.26,0.43,3,2,15,0,0,1,1,1,1,0,4,190.5,205.74,170,27,1,0,0
Nasrat Haqparast,1,0,0,5.25,0.47,0.0,0.29,0.25,3,2,12,0,0,0,2,1,0,0,3,177.8,182.88,155,24,0,1,0
Andrew Sanchez,1,0,0,4.49,0.43,0.0,2.25,0.33,2,3,21,1,0,0,4,0,0,0,4,185.42,187.96,185,32,1,0,0
