winner_is_blue,is_title_bout,no_of_rounds,lose_streak_dif,win_streak_dif,longest_win_streak_dif,win_dif,loss_dif,total_round_dif,total_title_bout_dif,ko_dif,sub_dif,height_dif,reach_dif,age_dif,sig_str_dif,avg_sub_att_dif,avg_td_dif,empty_arena,total_fight_time_secs,finish_DQ,finish_KO/TKO,finish_M-DEC,finish_Overturned,finish_S-DEC,finish_SUB,finish_U-DEC,year,month,day,Australia,Brazil,Canada,Chile,China,Croatia,Czech Republic,Denmark,Germany,Ireland,Japan,Mexico,Netherlands,New Zealand,Philippines,Poland,Russia,Singapore,South Korea,Sweden,USA,United Arab Emirates,United Kingdom,Uruguay,Catch Weight,Featherweight,Flyweight,Heavyweight,Light Heavyweight,Lightweight,Middleweight,Welterweight,Women's Bantamweight,Women's Featherweight,Women's Flyweight,Women's Strawweight,B_Orthodox,B_Southpaw,B_Switch,R_Orthodox,R_Southpaw,R_Switch,better_rank_Red,better_rank_neither,weight_dif,odds_dif,ev_dif,draw_dif,avg_SIG_STR_pct_dif,avg_TD_pct_dif,win_by_Decision_Majority_dif,win_by_Decision_Split_dif,win_by_Decision_Unanimous_dif,win_by_TKO_Doctor_Stoppage_dif
1,0,5,1,0,1,9,4,63,9,2,-1,0.0,7.62,5,-1.69,-0.8,1.42,1,900.0,0,0,0,0,1,0,0,2020,8,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,503,189.02877698,1,-0.019999999999999962,0.1,0,0,8,0
1,0,3,-1,0,1,1,0,6,0,1,0,2.54,20.32,-1,1.91,0.0,0.0,1,665.1285186894324,0,1,0,0,0,0,0,2020,8,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,-428,-146.33333333000002,0,0.13,0.0,0,0,0,0
1,0,3,3,-1,0,0,3,8,0,1,-1,0.0,2.54,8,-0.21,-0.8,0.39,1,665.1285186894324,0,1,0,0,0,0,0,2020,8,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,2180,743.006993007,0,-0.16999999999999998,0.25,0,0,0,0
0,0,3,0,0,0,0,1,2,0,1,-1,0.0,5.08,2,-5.73,-0.4,-1.58,1,665.1285186894324,0,1,0,0,0,0,0,2020,8,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,410,136.52173913000001,0,-0.12,0.17000000000000004,0,1,-1,0
0,0,3,0,0,0,0,-1,0,0,0,-1,-2.54,0.0,-7,-0.35,-1.3,-2.59,1,900.0,0,0,0,0,0,0,1,2020,8,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,-10,-247,-37.007299270000004,0,-0.19,-1.0,0,1,0,0
1,0,3,0,0,0,-1,-2,-8,0,-1,0,-2.54,-2.54,-2,0.14,0.8,3.17,1,665.1285186894324,0,0,0,0,0,1,0,2020,8,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0.0,0,0.28,0.22999999999999998,0,0,0,0
1,0,3,-1,0,0,0,-1,-2,0,0,0,2.54,10.16,-8,0.25,0.0,0.0,1,665.1285186894324,0,1,0,0,0,0,0,2020,8,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,-20,-233,-26.48062016,0,-0.009999999999999953,0.0,0,0,0,0
1,0,3,0,0,0,0,0,0,0,0,0,7.62,-2.54,0,0.0,0.0,0.0,1,900.0,0,0,0,0,0,0,1,2020,8,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,12,9.593859930000008,0,0.0,0.0,0,0,0,0
1,0,3,0,0,0,0,0,0,0,0,0,2.54,7.62,0,0.0,0.0,0.0,1,665.1285186894324,0,1,0,0,0,0,0,2020,8,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,-5,947,369.14285714,0,0.0,0.0,0,0,0,0
0,1,5,1,-1,6,6,-1,19,4,-1,4,-12.7,-20.32,4,-0.7,0.5,-0.25,1,900.0,0,0,0,0,0,0,1,2020,8,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,-5,-6,-5.05390835,0,0.0,0.07,0,1,2,0
1,0,3,1,-4,1,5,5,26,0,2,4,-7.62,-5.08,2,-3.16,0.1,-0.3,1,665.1285186894324,0,1,0,0,0,0,0,2020,8,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,10,545,207.21311475,0,-0.09999999999999998,-0.08000000000000002,0,0,-1,0
1,0,3,-1,0,-5,-11,-5,-44,-5,-6,0,0.0,2.54,-4,-0.82,-0.1,-0.33,1,665.1285186894324,0,1,0,0,0,0,0,2020,8,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,4,-258,-45.06993007,0,0.0,-0.55,0,0,-5,0
